SSA,MP concentration,HM concentration,Hydrated radius,Electronegativity,Molar mass,Temperature,pH,logQmax
1000,12.5,219.318,4.01,2.33,207.2,5,5,-0.079297653
1000,12.5,4.54545,4.01,2.33,207.2,45,5,-0.368018769
1000,12.5,10.2273,4.01,2.33,207.2,45,5,-0.368018769
1000,12.5,21.5909,4.01,2.33,207.2,45,5,-0.368018769
1000,12.5,43.1818,4.01,2.33,207.2,45,5,-0.368018769
1000,12.5,65.9091,4.01,2.33,207.2,45,5,-0.368018769
1000,12.5,111.364,4.01,2.33,207.2,45,5,-0.368018769
1000,12.5,178.409,4.01,2.33,207.2,45,5,-0.368018769
1000,12.5,225,4.01,2.33,207.2,45,5,-0.368018769
6.3,1,9.96678,4.01,2.33,207.2,25,,0.680335513
6.3,1,20.2658,4.01,2.33,207.2,25,,0.680335513
6.3,1,49.8339,4.01,2.33,207.2,25,,0.680335513
6.3,1,100,4.01,2.33,207.2,25,,0.680335513
85.4,1,5.64784,4.01,2.33,207.2,25,,0.235528447
85.4,1,20.2658,4.01,2.33,207.2,25,,0.235528447
85.4,1,49.8339,4.01,2.33,207.2,25,,0.235528447
85.4,1,100,4.01,2.33,207.2,25,,0.235528447
286.7,1,4.98339,4.01,2.33,207.2,25,,0.348304863
286.7,1,9.96678,4.01,2.33,207.2,25,,0.348304863
286.7,1,19.9336,4.01,2.33,207.2,25,,0.348304863
286.7,1,49.8339,4.01,2.33,207.2,25,,0.348304863
286.7,1,100,4.01,2.33,207.2,25,,0.348304863
1,2,27.54604,4.19,1.9,63.55,20,6,1.517195898
1,2,94.0593,4.19,1.9,63.55,20,6,1.517195898
1,2,122.129,4.19,1.9,63.55,20,6,1.517195898
1,2,147.7384,4.19,1.9,63.55,20,6,1.517195898
1,2,173.7226,4.19,1.9,63.55,20,6,1.517195898
1,2,223.23,4.19,1.9,63.55,20,6,1.517195898
1,2,95.075,4.19,1.9,63.55,30,6,1.586587305
1,2,123.9481,4.19,1.9,63.55,30,6,1.586587305
1,2,151.2144,4.19,1.9,63.55,30,6,1.586587305
